时间,固定资产累计同比增长(%)
2022/5/28,6.2
2022/4/28,6.8
2022/3/28,9.3
2022/2/28,12.2
2021/12/28,4.9
2021/11/28,5.2
2021/10/28,6.1
2021/9/28,7.3
2021/8/28,8.9
2021/7/28,10.3
2021/6/28,12.6
2021/5/28,15.4
2021/4/28,19.9
2021/3/28,25.6
2021/2/28,35
2020/12/28,2.9
2020/11/28,2.6
2020/10/28,1.8
2020/9/28,0.8
2020/8/28,-0.3
2020/7/28,-1.6
2020/6/28,-3.1
2020/5/28,-6.3
2020/4/28,-10.3
2020/3/28,-16.1
2020/2/28,-24.5
2019/12/28,5.4
2019/11/28,5.2
2019/10/28,5.2
2019/9/28,5.4
2019/8/28,5.5
2019/7/28,5.7
2019/6/28,5.8
2019/5/28,5.6
2019/4/28,6.1
2019/3/28,6.3
2019/2/28,6.1
2018/12/28,5.9
2018/11/28,5.9
2018/10/28,5.7
2018/9/28,5.4
2018/8/28,5.3
2018/7/28,5.5
2018/6/28,6
2018/5/28,6.1
2018/4/28,7
2018/3/28,7.5
2018/2/28,7.9
2017/12/28,7.2
2017/11/28,7.2
2017/10/28,7.3
2017/9/28,7.5
2017/8/28,7.8
2017/7/28,8.3
2017/6/28,8.6
2017/5/28,8.6
2017/4/28,8.9
2017/3/28,9.2
2017/2/28,8.9
2016/12/28,8.1
2016/11/28,8.3
2016/10/28,8.3
2016/9/28,8.2
2016/8/28,8.1
2016/7/28,8.1
2016/6/28,9
2016/5/28,9.6
2016/4/28,10.5
2016/3/28,10.7
2016/2/28,10.2
2015/12/28,10
2015/11/28,10.2
2015/10/28,10.2
2015/9/28,10.3
2015/8/28,10.9
2015/7/28,11.2
2015/6/28,11.4
2015/5/28,11.4
2015/4/28,12
2015/3/28,13.5
2015/2/28,13.9
2014/12/28,15.7
2014/11/28,15.8
2014/10/28,15.9
2014/9/28,16.1
2014/8/28,16.5
2014/7/28,17
2014/6/28,17.3
2014/5/28,17.2
2014/4/28,17.3
2014/3/28,17.6
2014/2/28,17.9
2013/12/28,19.6
2013/11/28,19.9
2013/10/28,20.1
2013/9/28,20.2
2013/8/28,20.3
2013/7/28,20.1
2013/6/28,20.1
