时间,第一产业固定资产投资额累计增长(%),农林牧渔水利业固定资产投资额累计增长(%),第二产业固定资产投资额累计增长(%),工业固定资产投资额累计增长(%),能源工业固定资产投资额累计增长(%),煤炭固定资产投资额累计增长(%),石油固定资产投资额累计增长(%),电力固定资产投资额累计增长(%),原材料工业固定资产投资额累计增长(%),冶金固定资产投资额累计增长(%),有色固定资产投资额累计增长(%),化工固定资产投资额累计增长(%),森林固定资产投资额累计增长(%),机械电子工业固定资产投资额累计增长(%),机械固定资产投资额累计增长(%),电子固定资产投资额累计增长(%),轻纺工业固定资产投资额累计增长(%),纺织固定资产投资额累计增长(%),轻工固定资产投资额累计增长(%),其他工业固定资产投资额累计增长(%),建筑业固定资产投资额累计增长(%),第三产业固定资产投资额累计增长(%),运输邮电通信业固定资产投资额累计增长(%),邮电通信业固定资产投资额累计增长(%),商业饮食供销仓储业固定资产投资额累计增长(%),房地产公用服务咨询业固定资产投资额累计增长(%),文教卫生广播福利业固定资产投资额累计增长(%),科研综合技术服务业固定资产投资额累计增长(%),金融保险业固定资产投资额累计增长(%),其他行业固定资产投资额累计增长(%)
2003年12月,3.65,3.65,39.07,38.98,17.48,43.31,6.79,19.07,71.76,87.18,68.69,61.31,7.75,41.22,53.81,17.86,56.76,66.7,54.09,43.3,41.54,24.23,5.61,-4.59,24.76,33.11,37.11,47.46,-22.38,22.96
2003年11月,4.75,4.75,43.81,43.79,17.36,43.79,0.75,22,82.78,104.12,70.5,70.28,43.29,48.47,65.8,19.62,63.16,74.46,60.1,54.57,44.14,23.82,5.21,-5.81,27.67,31.63,35.45,85.44,-23.97,25.62
2003年10月,7.28,7.28,46.51,46.51,19.73,51.39,3.9,23.57,85.03,108.86,71.27,70.91,52.58,52.46,70.82,22.24,65.4,84.5,60.48,53.83,46.53,23.48,5.01,-7.32,27.13,30.72,36.26,86.45,-23.75,25.94
2003年9月,8.5,8.5,48.87,49.02,23.25,53.67,6.9,27.56,88.02,119.3,68.93,70.58,57.54,48.11,67.24,16.3,71.02,86.69,66.9,57.08,44.83,24.26,6.1,-4.07,22.84,31.45,33.94,94.78,-19.84,28.98
2003年8月,10.84,10.84,51.49,51.48,24.12,59.44,11.03,26.84,92.28,125.69,73.56,73.75,62.58,51.76,69.19,23.04,76.56,100.59,70.43,56.34,51.67,24.38,6.18,-0.54,23.26,32,35.29,110.23,-20.2,22.58
2003年7月,14.9,14.9,50.98,50.86,22.9,61.23,8.07,26.26,90.66,129.71,70.74,70.38,10.22,54.8,70.33,29.21,77.22,108.01,69.56,49.24,54.48,24.79,5.73,1.2,27.87,30.04,36.73,119.36,-35.14,37.7
2003年6月,16.69,16.69,51.76,51.6,23.92,59.72,6.52,28.82,91,133.83,62.73,69.99,72.63,55.11,65.86,37.1,80.83,113.91,72.56,46.56,56.49,24.36,4.31,-3.22,31,29.73,36.71,126.02,-33.2,36.76
2003年5月,12.37,12.37,52.7,52.38,23.94,58.09,8.69,28.82,86.43,140.81,46.38,62.56,98.11,64.68,68.8,58.09,82.65,104.94,76.91,56.45,64.68,22.93,3.3,-5.9,23.51,28.5,40.34,97.62,-56.09,34.49
2003年4月,11.65,11.65,50.29,50.05,28.11,48.34,12.23,34.13,77.84,127.23,30.96,61.2,-31.58,54.97,63.6,42.6,77.94,92.09,73.88,48.72,59.32,21.92,-0.83,-11.56,33.33,30.52,37.74,60.58,-37.64,17.85
2003年3月,6.59,6.59,50.6,49.74,27.39,26.28,18.01,31.32,76.9,153.7,22.66,47.16,-24.95,61.98,67.5,53.52,72.04,65.75,73.97,40.79,84.3,23.6,-2.32,-22.22,25.4,32.6,43.85,72.59,-46.04,26.79
2003年2月,-6.7,-6.7,57.96,55.49,32.56,40.35,40.96,28.86,69.34,121.75,67.24,33.56,71.43,73.82,96.17,48.47,109.21,140.48,100.37,28.04,169.83,24.33,-1.36,-42.34,33.26,36.04,40.96,132.66,-31.34,1.09
2003年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年12月,23.5,23.5,22.9,22.2,12.6,31,10.7,11.9,32,45.9,23.2,26.8,-17.4,33.3,50.9,9.5,33.9,21.4,37.7,12.6,45.6,14.43,-2.6,-26.6,14.4,23.3,20.2,6.9,-12.6,32.7
2002年11月,35.2,35.2,27.4,26.8,14.8,45.7,20.1,10.8,39.6,48.4,27.9,38.5,-1.4,43.8,60.6,22.5,41.2,32.6,43.8,11.3,43.1,21,4.6,-25.3,21.7,28.4,29,3.4,10,40.4
2002年10月,35.5,35.5,26,25.8,12.1,42.8,13,9.9,43.4,53.9,28.6,42.7,-8,41.7,62,17.5,40.5,23.5,45.6,12.6,33.2,22.7,7.5,-25.2,21.8,29.8,28.5,10.8,9.5,38.9
2002年9月,32.9,32.9,25.4,25,10.9,37.9,11.3,9.1,44.2,53.4,28.6,44.5,3.4,41,64.4,14.1,39.1,23.2,43.9,11.8,35.2,23.4,8.5,-26.1,22.7,29.8,30.3,14.6,5.1,41.2
2002年8月,30.5,30.5,25.7,25.5,12,36,13.3,10.1,47.2,55.4,26.1,50.2,27.4,41.3,68.9,11.3,36.1,19.9,40.9,10.8,33.4,23.2,6.9,-27.4,19.1,30.7,30.7,16,7.3,40.7
2002年7月,26.6,26.6,26,25.9,12.6,39.5,15.6,9.9,51.8,64.1,29.9,50.9,126.1,39.1,67.9,8.6,34.5,15.9,40.1,12.7,26.4,23.2,5.5,-30.1,15.6,31.4,29.8,16.4,6.9,42.9
2002年6月,25.6,25.6,25.3,25.1,11.8,45.1,19,7.4,50.4,63.4,30.3,50,45.9,46,77.3,12.8,27,8.9,32.4,12.2,32.6,23.8,6.3,-30.1,12.1,33,29.7,17.6,2.2,38.5
2002年5月,31,31,25.2,24.8,13.7,53.7,27.1,7.1,46.7,42.6,33.6,55.6,-9.9,42.6,72.7,12.1,21.7,3.9,27.2,23.6,41.9,25.8,8.6,-24.6,8,35.5,26.9,13.2,21,39.2
