时间,农林牧渔业固定资产投资额累计增长(%),林业固定资产投资额累计增长(%),采矿业固定资产投资额累计增长(%),煤炭开采及洗选业固定资产投资额累计增长(%),石油和天然气开采业固定资产投资额累计增长(%),黑色金属矿采选业固定资产投资额累计增长(%),有色金属矿采选业固定资产投资额累计增长(%),非金属矿采选业固定资产投资额累计增长(%),其他采矿业固定资产投资额累计增长(%),制造业固定资产投资额累计增长(%),农副食品加工业固定资产投资额累计增长(%),食品制造业固定资产投资额累计增长(%),饮料制造业固定资产投资额累计增长(%),烟草制造业固定资产投资额累计增长(%),纺织业固定资产投资额累计增长(%),纺织服装、鞋、帽制造业固定资产投资额累计增长(%),皮革、毛皮、羽毛(绒)及其制品业固定资产投资额累计增长(%),木材加工及木、竹、藤、棕、草制品业固定资产投资额累计增长(%),家具制造业固定资产投资额累计增长(%),造纸及纸制品业固定资产投资额累计增长(%),印刷业和记录媒介的复制固定资产投资额累计增长(%),文教体育用品制造业固定资产投资额累计增长(%),石油加工、炼焦及核燃料加工业固定资产投资额累计增长(%),化学原料及化学制品制造业固定资产投资额累计增长(%),医药制造业固定资产投资额累计增长(%),化学纤维制造业固定资产投资额累计增长(%),橡胶制品业固定资产投资额累计增长(%),塑料制品业固定资产投资额累计增长(%),非金属矿物制品业固定资产投资额累计增长(%),黑色金属冶炼及压延加工业固定资产投资额累计增长(%),有色金属冶炼及压延加工业固定资产投资额累计增长(%),金属制品业固定资产投资额累计增长(%),通用设备制造业固定资产投资额累计增长(%),专用设备制造业固定资产投资额累计增长(%),交通运输设备制造业固定资产投资额累计增长(%),电气机械及器材制造业固定资产投资额累计增长(%),通信设备、计算机及其他电子设备制造业固定资产投资额累计增长(%),仪器仪表及文化、办公用机械制造业固定资产投资额累计增长(%),工艺品及其他制造业固定资产投资额累计增长(%),废弃资源和废旧材料回收加工业固定资产投资额累计增长(%),电力、燃气及水的生产和供应业固定资产投资额累计增长(%),电力、热力的生产与供应业固定资产投资额累计增长(%),燃气生产与供应业固定资产投资额累计增长(%),水的生产与供应业固定资产投资额累计增长(%),建筑业固定资产投资额累计增长(%),交通运输、仓储和邮政业固定资产投资额累计增长(%),铁路运输业固定资产投资额累计增长(%),道路运输业固定资产投资额累计增长(%),城市公共交通业固定资产投资额累计增长(%),水上运输业固定资产投资额累计增长(%),航空运输业固定资产投资额累计增长(%),信息传输、计算机服务和软件业固定资产投资额累计增长(%),批发和零售业固定资产投资额累计增长(%),住宿和餐饮业固定资产投资额累计增长(%),金融业固定资产投资额累计增长(%),房地产业固定资产投资额累计增长(%),租赁和商务服务业固定资产投资额累计增长(%),科学研究、技术服务和地质勘查业固定资产投资额累计增长(%),水利、环境和公共设施管理业固定资产投资额累计增长(%),水利管理业固定资产投资额累计增长(%),环境管理业固定资产投资额累计增长(%),公共设施管理业固定资产投资额累计增长(%),居民服务和其他服务业固定资产投资额累计增长(%),教育固定资产投资额累计增长(%),卫生、社会保障和社会福利业固定资产投资额累计增长(%),卫生固定资产投资额累计增长(%),文化、体育和娱乐业固定资产投资额累计增长(%),公共管理和社会组织固定资产投资额累计增长(%),国际组织固定资产投资额累计增长(%)
2011年12月,25,17.9,21.4,25.9,12.5,18.4,24.2,28.7,8.5,31.8,44.1,23.1,40.7,37.1,30.9,43,29.6,39.8,28.8,31.1,22.4,30.5,10.1,26.4,45.5,47.9,33.9,35.6,31.8,14.6,36.4,23.1,30.6,39.2,27.2,44.6,34.2,39.2,23.6,30.2,3.8,1.8,37,0.2,42.9,1.8,-22.5,9.8,11.2,-0.8,0.3,0.4,40.1,34.3,42,29.7,40.3,39.4,14.2,16.3,3.6,14.8,52.9,13.7,28.1,23,21.3,18.1,
2011年11月,28.8,19.6,19.4,25.6,4.2,19.5,20.8,31,-4.9,31.5,41.5,22.3,40.9,19.3,28.8,41.8,32,37.5,27.8,33.7,19.2,31.4,10.9,25.2,46.5,45.8,35.3,34,29.8,18.6,34.6,21.6,31,38.7,27.6,46.6,35.5,38.6,26.1,31.1,4.4,3.4,32.3,-3.4,38.8,3.5,-19.9,9.4,10.2,5.1,3.2,0.2,38.5,33.8,29,31.3,37.6,38.8,15.9,29.3,1.6,15.2,48.7,13.6,26.8,22,21.6,16.4,
2011年10月,28.2,16.4,18.4,24.9,3.2,17.4,21.1,28.1,-0.2,31.6,42.1,22.1,43.5,17.7,29.6,41,33.5,40.8,28.6,28.8,18.2,29.8,8,24.8,42.3,49.7,33.2,35,29.6,18.9,33.2,20.1,32,37.7,28.8,48.2,37.7,37.9,25.3,31.9,3.8,3.3,26.5,-4.6,39.1,4.1,-21.9,9.9,13.2,7.7,12,0.7,37.9,34.1,30.1,32.3,39.2,37,17.3,28,4.5,16.8,49.6,15,28.5,23.3,20.9,15.7,
2011年9月,25.5,10.8,17.3,24.6,1.5,18.7,17.9,23.8,12.3,31.5,40.5,21.2,41.9,19.6,31.8,40.5,33.2,36.7,28.7,25.4,20.2,30.2,10,23,39.9,46.3,33.4,35.2,28.2,20,33.2,17.3,30.5,39.5,32.1,50,39.4,39.5,29,34.6,3.7,3.4,25.2,-5.7,45.5,5.7,-19,11.6,17.7,4.2,8.2,-3.2,36.7,34.1,25.8,32.6,34.7,30.5,17.2,25.1,2.7,17.2,29.1,15.2,26.7,21,20.7,15.3,
2011年8月,23,11.1,15.9,22.6,0.8,19,16.7,24.4,-6.7,32.2,40.2,23.1,40.8,20.3,30.9,42.1,34,38,26,23.4,20.6,24.3,8.9,23.4,38.6,42.4,36.2,36.5,29.5,18.6,33.1,18.4,32.3,40,32.6,51.4,44.9,39.8,32.6,29.3,1.9,1.5,22.6,-6.3,43.2,7.4,-15.5,13.6,20.8,-0.7,11.6,-3.4,35,32.7,14.7,33.4,29.4,28.6,16.2,22.2,6.4,16.1,46.8,15.2,25.2,20.8,17.6,15,
2011年7月,22.8,9.5,15.8,22,0.8,17.5,17.1,25.6,-7.2,31.8,37.1,22.8,36.7,7.9,30.4,44.1,36.2,34.3,27.4,20.8,20.9,22.4,10.6,22.7,37.5,48.1,35.9,37.1,27.6,17.5,33.1,19.5,31.3,38.3,33.4,56,45.2,43.3,29,25.6,2.1,2.2,19.6,-7.8,40.1,11.6,-2.1,15.7,20.7,-2.3,3.5,-3,34.9,32.4,21,33.4,26.8,22.2,16.6,20.2,4.5,17,33.1,18.2,25.9,22.1,15.7,18.6,
2011年6月,20.6,6.4,15,19.5,1.3,18.6,15.8,25.1,23.1,32.4,37.5,20.6,36.7,9.4,32.8,42.3,36,36.6,31.2,18.5,22,18.7,9.8,23.7,41.5,53.3,39.7,40.5,26.9,14.8,30.7,22.1,32.5,37.8,34.8,55,48,48.1,36.3,25.4,2.2,2.6,19.8,-9.3,36.1,16.3,6.9,18.5,27.3,3.9,3.1,-5.2,33.6,34.8,24.6,31.9,19.1,23.1,17.4,18.4,1.4,18.7,49.1,18.2,25,21.9,14.7,14,
2011年5月,15.6,6.5,11,13.4,2.2,13.6,6,26.9,42.5,31.2,37.9,22.7,37.1,1.6,28.7,42.5,44.9,35.2,30.8,18.7,19.1,18.3,10.5,23.3,43,66.4,46.6,39.7,22.7,7.1,26.8,22.8,34.3,33.2,31.6,52.7,51.1,52.7,36.3,15.3,4.3,5,20.9,-7.9,36.7,20.5,18.3,20.4,25.3,5.5,22.2,-7.1,31.8,41.3,31.5,33.8,19,30.2,14.7,18.8,-3.9,15.6,56.2,16.4,24.7,20.3,10.2,19.5,
2011年4月,12.6,4,13.8,10.4,8.3,18.9,16.3,31.7,72.8,29,35.7,24.7,40.3,-8.6,29.2,39.9,42.4,40.6,26.2,8.9,18.6,18.3,12.3,21.1,37.2,80.5,35.9,34.8,22.2,6.6,15,17.8,28.2,28,26.8,54.1,55,53.6,41.9,19.2,3.5,4.2,18.8,-8.4,28.6,25.3,26.9,24.6,23.6,8,28.2,-11.9,33.7,35.7,43.7,32.4,22.8,18.3,16.8,24.4,-5.5,17.3,60.7,14.8,21.1,18.4,7.9,21.9,
2011年3月,10.8,-2.4,10.6,8.4,5.6,2.9,16.5,33.3,68.3,29.2,29.3,14.6,36,-21.2,30.9,34.9,34.9,33.9,26.6,10.4,26.2,8.8,17.4,16.4,31.5,109,40.2,32.4,18.3,10.6,17.2,19.9,28.5,27.5,37.2,54.1,62,54.1,33.3,36.9,4,6.4,14.7,-14,34.6,27.6,46,22.4,21.8,9.5,27.2,-15.3,24.2,30.5,31.8,31,15.2,20.8,15.4,13.3,-5.5,17.5,76.6,11,21.7,18.5,13.3,21.7,
2011年2月,6.9,2.3,14.5,13.2,7.8,35.4,16.5,20,-7.7,29.9,41.7,7.5,42.1,-31.2,33,28.8,42.2,25.3,33.7,18.6,3.5,17.4,18.8,18.8,28.6,134.2,24.8,36.8,17.4,10.7,8.4,17.8,25.1,31,31.4,60.4,61.9,45.1,59.8,32.8,-0.1,1.3,26,-19.2,26.8,30.7,45.3,22.2,35.2,9.4,46.3,-16.9,26.1,35.9,53.4,32.6,7,24.5,11.9,17.9,-19.5,13.5,77.1,-0.2,8.3,4.9,1.1,11.2,
2011年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年12月,18.2,17,18.1,23.3,3.6,26.4,21.7,40.2,61.7,27,28.1,28.8,25.6,-0.4,26.4,34.4,23.4,28.4,30,8.2,22,26.5,12.9,14.8,33.5,42.2,23.9,27.4,28,6.1,35.8,28.6,22.4,35.1,31.7,40.4,48.2,35,32.9,37.7,7.3,6.6,47.6,-2.9,48.6,19.5,12.5,20.9,16.1,24.4,46.3,-6,16.2,27.6,36.5,33.5,32.4,18.8,24.5,23.8,28.1,24.3,46.1,14.6,15.9,16.8,22.1,21.2,
2010年11月,16.6,11.5,19.6,22.7,5.8,23.1,28,40.1,68.8,26.1,28.7,27.3,27,-6,26.6,31.2,18.7,28.6,25.3,9.8,22.4,25.4,10.5,14,29.9,50.1,28.2,26.4,27.2,5.3,33.8,26.1,22.3,32.4,32.1,38.5,46.6,38,33.4,50.9,9,7.9,48.5,0.7,23.1,22.3,25.3,23.3,2.2,14.5,39.9,-3.9,18.1,26,36.3,36.4,32,16.7,24.5,20.7,26.1,24.9,43.8,13.9,15,15.2,21.9,8,
2010年10月,17.2,16.9,19.2,21.7,6.9,20.8,28,37.7,66,25.7,27.7,27.3,24.5,-9,25.5,30.9,17.6,30.7,22.7,10.6,22.2,24.7,10,13.6,31.6,54,34,27.6,27.5,1.6,37.2,26.1,22.4,34.1,29.2,38.7,44.2,34.9,35.4,64.1,8,6.4,51.9,1.5,23.9,22.2,27.8,22.4,5,13.1,34.6,-5.2,18.6,26.3,40.7,34.6,32.7,15.1,24.7,21.9,30.4,24.7,36.9,13.7,13,13.6,24,9.3,
