时间,农、林、牧、渔业固定资产投资额累计增长(%),农业固定资产投资额累计增长(%),林业固定资产投资额累计增长(%),畜牧业固定资产投资额累计增长(%),渔业固定资产投资额累计增长(%),农、林、牧、渔专业及辅助性活动固定资产投资额累计增长(%),采矿业固定资产投资额累计增长(%),煤炭开采和洗选业固定资产投资额累计增长(%),石油和天然气开采业固定资产投资额累计增长(%),黑色金属矿采选业固定资产投资额累计增长(%),有色金属矿采选业固定资产投资额累计增长(%),非金属矿采选业固定资产投资额累计增长(%),制造业固定资产投资额累计增长(%),农副食品加工业固定资产投资额累计增长(%),食品制造业固定资产投资额累计增长(%),酒、饮料和精制茶制造业固定资产投资额累计增长(%),烟草制品业固定资产投资额累计增长(%),纺织业固定资产投资额累计增长(%),纺织服装、服饰业固定资产投资额累计增长(%),皮革、毛皮、羽毛及其制品和制鞋业固定资产投资额累计增长(%),木材加工及木、竹、藤、棕、草制品业固定资产投资额累计增长(%),家具制造业固定资产投资额累计增长(%),造纸及纸制品业固定资产投资额累计增长(%),印刷和记录媒介复制业固定资产投资额累计增长(%),文教、工美、体育和娱乐用品制造业固定资产投资额累计增长(%),石油、煤炭及其他燃料加工业加工业固定资产投资额累计增长(%),化学原料和化学制品制造业固定资产投资额累计增长(%),医药制造业固定资产投资额累计增长(%),化学纤维制造业固定资产投资额累计增长(%),橡胶和塑料制品业固定资产投资额累计增长(%),非金属矿物制品业固定资产投资额累计增长(%),黑色金属冶炼和压延加工业固定资产投资额累计增长(%),有色金属冶炼和压延加工业固定资产投资额累计增长(%),金属制品业固定资产投资额累计增长(%),通用设备制造业固定资产投资额累计增长(%),专用设备制造业固定资产投资额累计增长(%),汽车制造业固定资产投资额累计增长(%),铁路、船舶、航空航天和其他运输设备制造业固定资产投资额累计增长(%),电气机械和器材制造业固定资产投资额累计增长(%),计算机、通信和其他电子设备制造业固定资产投资额累计增长(%),仪器仪表制造业固定资产投资额累计增长(%),废弃资源综合利用业固定资产投资额累计增长(%),金属制品、机械和设备修理业固定资产投资额累计增长(%),电力、热力、燃气及水的生产和供应业固定资产投资额累计增长(%),电力、热力生产和供应业固定资产投资额累计增长(%),燃气生产和供应业固定资产投资额累计增长(%),水的生产和供应业固定资产投资额累计增长(%),建筑业固定资产投资额累计增长(%),批发和零售业固定资产投资额累计增长(%),交通运输、仓储和邮政业固定资产投资额累计增长(%),铁路运输业固定资产投资额累计增长(%),道路运输业固定资产投资额累计增长(%),水上运输业固定资产投资额累计增长(%),航空运输业固定资产投资额累计增长(%),管道运输业固定资产投资额累计增长(%),装卸搬运和仓储业固定资产投资额累计增长(%),住宿和餐饮业固定资产投资额累计增长(%),信息传输、软件和信息技术服务业固定资产投资额累计增长(%),电信、广播电视和卫星传输服务固定资产投资额累计增长(%),金融业固定资产投资额累计增长(%),房地产业固定资产投资额累计增长(%),租赁和商务服务业固定资产投资额累计增长(%),科学研究和技术服务业固定资产投资额累计增长(%),水利、环境和公共设施管理业固定资产投资额累计增长(%),水利管理业固定资产投资额累计增长(%),生态保护和环境治理业固定资产投资额累计增长(%),公共设施管理业固定资产投资额累计增长(%),居民服务、修理和其他服务业固定资产投资额累计增长(%),教育固定资产投资额累计增长(%),卫生和社会工作固定资产投资额累计增长(%),卫生固定资产投资额累计增长(%),文化、体育和娱乐业固定资产投资额累计增长(%),文化艺术业固定资产投资额累计增长(%),公共管理、社会保障和社会组织固定资产投资额累计增长(%)
2022年5月,9.6,24.2,15.1,-18.2,35.6,37.3,17.3,40.7,12.4,82.3,12.2,26.2,10.6,19.1,21.2,36.4,-20.3,13.1,32.7,30.8,25.2,15.9,14,25.4,24.7,13.7,13.2,8.1,35.3,14.3,12.1,0.3,14.1,17.4,23.4,18.4,11.2,14.4,36.8,21.7,36.3,20.3,-7.2,11.5,12.1,18.1,8,-24.7,5,6.9,-3,-0.3,14.7,-10.9,-28.8,29.3,16.7,16.2,0.6,-25.8,-3.2,26.4,12.3,7.9,11.8,1.7,7.9,19.8,9,28.1,27.8,4.2,18.8,-4
2022年4月,9.6,21.9,11.9,-15.8,34.3,39,18.8,46.1,11.9,81.9,21.3,33.7,12.2,23.1,23.2,38.9,-38.3,16.1,36.3,32.9,26.7,19,14.6,36.3,22.3,19.6,16.2,9.9,38.6,17.1,13.7,2.4,13,19.8,25.6,22.1,10.4,11.9,36.6,22.1,33.3,38.1,-0.7,13,13.5,30,7.4,-25,6.6,7.4,-7,0.4,3.5,-11.6,-12.2,32,17.5,7.4,-8.5,-20.5,-1.9,27.3,14.6,7.2,12,0.3,7.1,22,12.5,26.4,24.9,5.7,21.9,-3.4
2022年3月,11.4,21.4,16.9,-13.7,33,49.1,19,50.8,11.3,89.8,18.2,27.3,15.6,25.4,24.1,44.6,-42.8,23.8,37.3,32.5,31.5,17.1,19.3,43.8,25.2,23,16,17.4,37,18.9,17.3,7,9.4,24.2,25.5,26.7,12.4,22.2,42.1,27.8,36.8,19.5,9.4,19.3,20.8,36.2,11.1,-34.6,5.2,9.6,-2.9,3.6,13.5,-0.4,-19.1,28.9,16.2,6,-7.8,-23.8,1.8,27.8,11.8,8,10,3.9,8.1,21.4,17.2,24.9,23.8,6.8,20.7,-8.5
2022年2月,13.1,19.2,28.6,-9.4,26.8,50.6,21.1,45.4,0,62.5,-1.8,21.1,20.9,29.5,26.7,43,-27.2,36.3,46.2,32.5,31.3,6.2,10.4,51.7,26.4,52.4,16.2,27.2,53.9,21.9,22.7,-3.6,19.6,35.3,28.3,30.2,11.3,36.3,56.4,35.1,46,27.9,7.6,11.7,11.7,28.7,8,-22.4,0.7,10.5,-8,8.2,-3.8,1.1,-26.1,24.6,14.6,22.1,-6.4,-12.6,4.7,29.6,19.7,6,22.5,-3.3,4.3,21.5,19.8,28.7,29.3,8.9,16.3,-2.4
2022年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021年12月,9.3,3.4,-4,20.3,4.9,10.5,10.9,11.1,4.2,26.9,1.9,26.9,13.5,18.8,10.4,16.8,34.5,11.9,4.1,2,13.7,1.7,13.3,6.7,11.2,8,15.7,10.6,31.8,13.2,14.1,14.6,4.6,11.4,9.8,24.3,-3.7,20.5,23.3,22.3,12,6.7,43.6,1.1,3.2,-2.2,-4.2,1.6,-5.9,1.6,-1.8,-1.2,17.9,18.8,-1.4,6.6,6.6,-12.1,-7,1.9,5,13.6,14.5,-1.2,1.3,-2.6,-1.3,-10.3,11.7,19.5,24.5,1.6,6.4,-38.2
2021年11月,9.2,1.3,-6.4,24.4,5.2,8.2,7.3,7.1,-0.4,23.3,-1.2,27.2,13.7,19.5,8.3,17.8,23.1,12.4,1.5,-1.1,8.4,0.2,14.3,5.5,7.3,8.2,16.6,11.7,38.1,15.5,13.8,13.6,8.5,12.1,11.4,25.3,-3.2,23.1,24.4,21.4,13.6,5.6,42.5,0.2,2.6,-8.6,-4,-0.8,-5.4,1.1,-1.7,-0.3,13.7,22.3,20.9,1.4,6.4,-17.3,-6.5,22.7,6.3,11.6,11.8,-1.3,2.1,-1.6,-1.6,-8.3,9.5,21.3,26.6,2.2,4.9,-10.6
2021年10月,10.4,1.6,-9.1,29.8,2.9,6.1,5,3.8,-4.5,30.8,-3.4,24,14.2,19.9,8.7,15,19.6,13.2,2.2,-1.4,5.7,-0.9,13.2,5.5,6.3,9,17.8,13.3,31.3,17,13.9,14.6,7.9,13.8,11.1,25.9,-5.5,22.1,25,22.5,16.6,3.7,43.5,0.4,3.5,-12.7,-4.6,11.9,-5.5,2.3,-3.5,-0.2,18.9,27,40.3,5.9,6.2,-14.6,-10.5,20.8,7.4,10,10.9,-0.4,3.4,0.2,-0.8,-7.2,10.1,22.3,28.9,2.7,6.2,-10.8
2021年9月,12.9,3,-9.7,36.8,2.4,5.5,6.2,6.6,-5.1,25.9,-0.9,24.4,14.8,20.6,9.4,14.9,14.3,13.5,3.1,-0.5,4.6,-2.1,15.4,3.4,4.2,8.9,19.3,14.4,29.5,17.7,14,16,10.8,13.4,9.3,25.2,-6.5,26.7,22,24.4,22.4,2.9,35.6,1.6,5.1,-13,-4,18.1,-4.8,2.4,-4.2,0.4,24.2,33.3,40.4,4.8,6.6,-10.2,-10.7,28,8.8,10.2,13,0.8,5.4,4.3,0,-9.8,10.4,24.5,31.4,3.5,4.9,-8.9
2021年8月,16.4,5.2,-9.3,46.3,3.9,5.3,6.7,4.4,-2.9,21.4,3.4,27,15.7,23.8,8.8,17.6,14.1,13.9,4.8,0.3,5.6,-2.9,17.6,2.5,5.1,8.4,22.6,15.1,29.9,18,13.9,16.4,10.5,14.1,10.3,27.2,-4.4,30.2,21.3,24.9,19.1,3,47.3,1.1,4.2,-12.9,-3.6,33.7,-4.8,4.3,-4.8,2.1,27.5,47.8,32.5,8.2,5.7,-5.4,-15.5,28.3,10.8,10.8,12.7,1.8,7.3,6.6,0.7,-8.1,12.2,26.5,33.8,4.2,4,-10.5
2021年7月,19.7,7.1,-11,56.5,6.1,6.5,8.9,8.8,-0.4,10.2,8.7,30.5,17.3,27.3,11.8,20.2,10,12.3,5.2,-0.3,5.6,-1.3,19.7,0,6.7,11.5,28.2,18.7,26.7,20,14.7,21.6,12.7,14.6,12,27.3,-3.5,31.5,21.3,25.4,26.1,5.2,57.7,1.7,4.7,-12.6,-2.3,28.3,-2.9,5.9,-4.4,4.4,21.6,49.4,17.6,17.9,8.7,-6,-15.5,32,12.5,11.3,15.8,3.8,6.9,12.6,2.8,-6.7,12.1,24.8,31.8,5.2,1.9,-9.3
2021年6月,19.9,2.5,-11.1,67.3,5.9,10.8,11.5,10.6,-2.1,1.5,12,31.1,19.2,29.8,14.3,24,17,15.2,5.8,-0.3,9,0,20.4,3.2,9.5,15.9,30.1,20.7,16.6,20.8,16.3,26.3,16.5,16.6,10.6,28.5,-2.3,31.4,24.2,28.3,25.1,5.5,59.7,3.4,6,-11.9,0.7,24.4,1,8.7,0.4,6.5,28,58.6,21.6,11.6,11,-5.6,-8.8,34,14.7,12.5,18,7.4,10.7,16.9,6.2,-4.1,14.2,28.2,35.5,10,10.6,-4.1
2021年5月,26.7,4.7,-2,89,7.9,13.6,13.9,15.7,-3.9,-4.9,10.4,32.7,20.4,34.7,16.3,25.1,22.7,17.1,8.3,3,9.6,-0.8,19.3,6.7,10.9,10.9,31.8,24.2,21.7,26.7,18.2,40,15.5,15.9,9.4,28.9,-3.7,34.2,24.4,27.6,21,2.3,51.9,7.3,10.9,-14.8,4.2,41.2,6.1,12.1,7.1,10.6,38.3,63.1,11,11.3,14.3,-5,6.1,37.1,18.4,14.8,14.8,10.2,15.4,20,8.7,9.3,17.8,34.7,43.6,17.2,16.7,-4.3
2021年4月,33.3,9.8,-1.6,107.7,9.3,18.6,13,19.3,-10.7,-1.3,-0.5,43,23.8,36.7,17.8,28.4,37.8,22.9,10.1,3.3,12.5,2.5,23.1,8.1,19.6,13.3,35.5,33.1,13,28.8,23.5,51.6,22.9,18.4,11.8,30.2,-3,44.5,26.8,30.8,25,-5.6,97.2,14.4,17.4,-6,11.9,35.5,10.6,19.8,27.5,16.8,54.2,88.2,-11.5,16.7,13.8,6.2,26.6,19.3,21.2,18.1,14.8,15.6,24.9,19.3,14.1,20.7,22.1,37.7,46.5,22.7,17.8,4.1
2021年3月,43.1,14.8,13.4,135.6,11.8,24,20.8,10.8,-13.8,6.5,3.9,49.2,29.8,42.8,25.6,29.8,81.1,18.2,17.1,12.2,15.1,4.9,16.2,15.6,28.3,27.8,48.7,42.7,9.5,37.7,29.6,66.1,24.6,23.6,19,38.1,-3.3,41.8,27.3,40.4,27.4,16.6,89.5,20,22.2,1,19.3,47.4,14.7,31,66.6,25.7,51,82.9,37.6,26.8,16.6,6.2,71.1,30.3,24.7,17.3,25.5,26.1,42.5,30.6,23.5,33.3,27,41.8,50.9,29.5,27.2,6.6
