时间,煤炭开采和洗选业增加值同比增长(%),石油和天然气开采业增加值同比增长(%),黑色金属矿采选业增加值同比增长(%),有色金属矿采选业增加值同比增长(%),非金属矿采选业增加值同比增长(%),开采专业及辅助性活动增加值同比增长(%),其他采矿业增加值同比增长(%),农副食品加工业增加值同比增长(%),食品制造业增加值同比增长(%),酒、饮料和精制茶制造业增加值同比增长(%),烟草制品业增加值同比增长(%),纺织业增加值同比增长(%),纺织服装、服饰业增加值同比增长(%),皮革、毛皮、羽毛及其制品和制鞋业增加值同比增长(%),木材加工和木、竹、藤、棕、草制品业增加值同比增长(%),家具制造业增加值同比增长(%),造纸和纸制品业增加值同比增长(%),印刷和记录媒介复制业增加值同比增长(%),文教、工美、体育和娱乐用品制造业增加值同比增长(%),石油、煤炭及其他燃料加工业增加值同比增长(%),化学原料和化学制品制造业增加值同比增长(%),医药制造业增加值同比增长(%),化学纤维制造业增加值同比增长(%),橡胶和塑料制品业增加值同比增长(%),非金属矿物制品业增加值同比增长(%),黑色金属冶炼和压延加工业增加值同比增长(%),有色金属冶炼和压延加工业增加值同比增长(%),金属制品业增加值同比增长(%),通用设备制造业增加值同比增长(%),专用设备制造业增加值同比增长(%),汽车制造业增加值同比增长(%),铁路、船舶、航空航天和其他运输设备制造业增加值同比增长(%),电气机械和器材制造业增加值同比增长(%),计算机、通信和其他电子设备制造业增加值同比增长(%),仪器仪表制造业增加值同比增长(%),其他制造业增加值同比增长(%),废弃资源综合利用业增加值同比增长(%),金属制品、机械和设备修理业增加值同比增长(%),电力、热力生产和供应业增加值同比增长(%),燃气生产和供应业增加值同比增长(%),水的生产和供应业增加值同比增长(%),煤炭开采和洗选业增加值累计增长(%),石油和天然气开采业增加值累计增长(%),黑色金属矿采选业增加值累计增长(%),有色金属矿采选业增加值累计增长(%),非金属矿采选业增加值累计增长(%),开采专业及辅助性活动增加值累计增长(%),其他采矿业增加值累计增长(%),农副食品加工业增加值累计增长(%),食品制造业增加值累计增长(%),酒、饮料和精制茶制造业增加值累计增长(%),烟草制品业增加值累计增长(%),纺织业增加值累计增长(%),纺织服装、服饰业增加值累计增长(%),皮革、毛皮、羽毛及其制品和制鞋业增加值累计增长(%),木材加工和木、竹、藤、棕、草制品业增加值累计增长(%),家具制造业增加值累计增长(%),造纸和纸制品业增加值累计增长(%),印刷和记录媒介复制业增加值累计增长(%),文教、工美、体育和娱乐用品制造业增加值累计增长(%),石油、煤炭及其他燃料加工业增加值累计增长(%),化学原料和化学制品制造业增加值累计增长(%),医药制造业增加值累计增长(%),化学纤维制造业增加值累计增长(%),橡胶和塑料制品业增加值累计增长(%),非金属矿物制品业增加值累计增长(%),黑色金属冶炼和压延加工业增加值累计增长(%),有色金属冶炼和压延加工业增加值累计增长(%),金属制品业增加值累计增长(%),通用设备制造业增加值累计增长(%),专用设备制造业增加值累计增长(%),汽车制造业增加值累计增长(%),铁路、船舶、航空航天和其他运输设备制造业增加值累计增长(%),电气机械和器材制造业增加值累计增长(%),计算机、通信和其他电子设备制造业增加值累计增长(%),仪器仪表制造业增加值累计增长(%),其他制造业增加值累计增长(%),废弃资源综合利用业增加值累计增长(%),金属制品、机械和设备修理业增加值累计增长(%),电力、热力生产和供应业增加值累计增长(%),燃气生产和供应业增加值累计增长(%),水的生产和供应业增加值累计增长(%)
2022年5月,8.2,6.6,5.8,9.9,-2.4,3.3,13.9,1.6,3.5,7,10.6,-3.5,1.2,5.1,-1.8,-9.7,0.5,0.9,-3.9,-7.3,5,-12.3,-0.1,-2.7,-5.4,-2.7,3.4,-2.3,-6.8,1.1,-7,-0.1,7.3,7.3,4.1,15.2,19.1,13.2,-0.8,7.7,3.1,12.1,6.5,8.7,11.4,1.1,6.2,10,4.1,4.3,8.8,9.8,-0.4,5.1,6.1,2.7,-1.8,-0.1,2.6,2.8,-4.4,3.6,3.1,0.3,-1.5,-2,-2.8,3.9,0.6,-3.6,3.6,-5.7,0.3,8.8,9.9,3.4,17,25.3,14.7,3.3,11.8,3.5
2022年4月,13.2,7.2,3.8,8.9,-4.5,8.9,-6.2,-0.1,0.1,0.5,8.7,-6.3,-0.3,0.6,-2.8,-8.8,-5.6,-2.8,-6,-6.6,-0.6,-3.8,-4.1,-8.1,-6.2,-4.2,1.4,-6.6,-15.8,-5.5,-31.8,-6,1.6,4.9,-8.8,16.6,18.3,0.8,0.9,7.1,2,13.2,6.4,9.7,11.9,2.1,7.2,8.6,4.7,4.5,9.2,9.7,0.5,6.2,6.5,3.9,0.5,-0.2,3,4.7,-3.7,3.3,7.6,0.4,-1.2,-0.9,-2.9,4.1,1.5,-2.7,4.3,-5.4,0.4,9.2,10.7,3.2,17.5,27.3,15.1,4.3,12.7,3.6
2022年3月,16.7,5.7,12.2,11.4,4.2,2.4,76.7,6.1,3.8,7,5,0.7,5.1,5.2,4.8,0.1,1.4,3.9,3.4,-3.3,3,10.1,1.2,0.8,1.6,-1.6,6.2,2.1,-0.7,7.6,-1,1.1,10.6,12.5,4.4,19.6,26.7,22.2,3.9,11,4.7,13.2,6.1,12,13.1,4.9,6.5,15.9,6.4,6,12.1,9.9,3.2,8.7,8.7,6.5,4.3,1.7,5.3,9.1,-2.7,4.7,11.8,2.4,1.5,1.4,-2.4,5.1,4.9,2.6,8.2,4,2.9,12.4,12.7,8,17.8,31.3,20.9,5.4,14.2,4.1
2022年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,6.3,11.9,13.8,5.4,10,-11.9,6.5,7.4,15.4,11.1,4.9,11.3,11.3,7.7,7.4,1.9,6.2,12.8,-2.4,5.9,12.9,3,2,1.3,-2.9,4.4,6.8,5,8.8,7.2,4.2,13.6,12.7,10.6,16.5,34.6,20,6,15.7,3.8
2021年12月,12.2,-0.7,2.8,0.2,5.7,9.1,-1.4,5.7,9.1,11.9,-14.5,-2.4,5,5.5,9.8,1.4,1.9,5.9,7.9,-3.3,1.2,8.6,-1.1,0,-0.2,-2.5,-0.8,4.6,1.5,7.4,2.8,-2,5.8,12,4.6,3,25,12.1,7.9,4.3,3.7,6.7,3.9,3.4,-1.7,7.5,5.6,-10.8,7.7,8,10.6,3.5,1.4,8.5,8.6,10.4,12.2,6.3,11.2,14.9,0.8,7.7,24.8,7.2,6.3,8,1.2,3.9,16,12.4,12.6,5.5,8.4,16.8,15.7,12,9.2,30.2,5.5,10.9,18.1,9.5
2021年11月,9.6,0.4,-1.4,1.5,4,20.3,-33.6,7,9,12.3,-4.3,-3.5,7.4,6.1,3.8,4.2,1.9,6.7,6.9,-5.4,-0.9,17,-1.3,-2,-4,-11.2,-1.2,3.5,2.8,4,-4.7,3.6,9.4,13.5,8.6,12.6,18.6,15.2,10.1,24.7,7.6,6.1,4.7,3.4,-2,7.8,5.1,-12.1,7.9,7.9,10.5,4.7,1.8,8.9,9,10.5,13.7,6.8,11.9,15.8,1.3,8.5,26.9,8.1,7,8.9,1.6,4.4,17.5,13.8,13.3,5.8,10,18.2,16.2,13.1,10,30.8,4.5,11.3,20.4,10.3
2021年10月,9.2,5.7,-3.4,-0.8,-0.7,5.5,-15.2,3.3,6.8,9.2,11.9,-5.9,8.2,7.9,3,2.8,-1.2,4.9,7.4,-4.3,0.8,16.3,-3.9,-5.4,-4.1,-12.8,0,6.7,1,7.2,-7.9,6.5,5.3,14,5.1,6.7,27.2,7.6,10.7,24.1,4.5,5.6,4.9,4,-2.3,8.3,3.5,-6.9,8,7.8,10.3,5.5,2.5,9.1,9.4,11.4,15,7.5,12.6,17,2,9.6,27.9,9.1,8.1,10.6,3,5.1,19.4,15.2,14.6,7.3,10.8,19.5,16.5,13.7,9.7,32.5,3.2,11.4,19.9,10.6
2021年9月,2.9,9.2,-2.8,0.2,-3.6,5.3,5.4,2.5,2.8,3.6,1.4,-5.8,5.2,6.6,3.3,0.7,-3,3.1,7,-8.1,0,26.5,-0.8,-3.9,-1.1,-9.7,1.2,6.8,3,8.8,-8.2,7.9,6.8,9.5,7.9,4,26.6,6.7,8.9,23.7,6.8,5.1,4.8,4.9,-2.5,9.5,3.3,-5.3,8.6,7.9,10.5,5,3.7,9.2,9.6,12.5,16.8,8.6,13.6,18.3,2.7,10.8,29.2,10.7,9.9,12.6,5,5.7,21.2,17.1,15.5,9.4,11.3,21.4,16.8,14.8,10.1,33.2,2.7,11.4,19.4,11.4
2021年8月,2.3,7,-1.8,-5.6,-2.5,18.1,15.9,7.2,6.4,7.5,9.4,-2.5,6.7,5.7,3.6,4.5,2.9,9.6,7.7,-4.5,5.5,32.9,9.7,0.4,4.4,-5.3,2.8,11.8,6.7,8.7,-12.6,1.3,10.3,13.3,9.4,2.1,25.8,0.1,5,24.5,6.6,5.5,4.2,6.1,-3,11.6,2.9,-7.4,9.6,8.8,11.6,5.5,5.2,9.9,10.1,14,19.6,10.4,15.3,20.3,4.2,12.3,30,12.3,12.2,14.8,7.2,6.4,23.5,19.4,16.5,12.4,11.9,23.8,18,16,11.2,34.2,2,11.8,18.9,12.2
2021年7月,0.3,4.4,-1.4,-9.9,2.9,3.9,-25,5.9,5,6.4,11.8,-1,8.1,4.6,6.7,9.2,1.4,7.8,9.2,1.9,6.6,25.3,12.8,1.1,5.9,-2.6,2.3,12.7,7.6,5.3,-8.5,4.6,10.3,13,6.9,3.1,34.6,3,12.7,23.5,9.6,6,3.9,7.5,-2.5,14,1,-10.6,10,9.1,12.3,5.1,6.6,10.4,10.8,15.8,22.3,11.5,16.3,22.7,5.6,13.4,29.3,12.7,14.2,16.6,9.2,6.9,25.5,21.5,17.8,16.7,13.6,26.2,18.7,17.1,12.8,35.7,2.3,13,18.2,13.1
