,时间,年末总人口(万人),人口出生率(‰),avage_people,new_people,house_27,house_42,house_people
114,1949年,54167.0,36.0,54167.0,1950.012,,,
113,1950年,55196.0,37.0,54167.0,2004.179,,,
112,1951年,56300.0,37.8,55196.0,2086.4087999999997,,,
111,1952年,57482.0,37.0,56300.0,2083.1,,,
110,1953年,58796.0,37.0,57482.0,2126.834,,,
109,1954年,60266.0,37.97,58796.0,2232.48412,,,
108,1955年,61465.0,32.6,60266.0,1964.6716000000001,,,
107,1956年,62828.0,31.9,61465.0,1960.7335,,,
106,1957年,64653.0,34.03,62828.0,2138.0368399999998,,,
105,1958年,65994.0,29.22,64653.0,1889.16066,,,
104,1959年,67207.0,24.78,65994.0,1635.33132,,,
103,1960年,66207.0,20.86,67207.0,1401.93802,,,
102,1961年,65859.0,18.13,66207.0,1200.3329099999999,,,
101,1962年,67296.0,37.22,65859.0,2451.27198,,,
100,1963年,69172.0,43.6,67296.0,2934.1056,,,
99,1964年,70499.0,39.34,69172.0,2721.2264800000003,,,
98,1965年,72538.0,38.0,70499.0,2678.962,,,
97,1966年,74542.0,35.21,72538.0,2554.06298,,,
96,1967年,76368.0,34.12,74542.0,2543.37304,,,
95,1968年,78534.0,35.75,76368.0,2730.156,,,
94,1969年,80671.0,34.25,78534.0,2689.7895,,,
93,1970年,82992.0,33.59,80671.0,2709.73889,,,
92,1971年,85229.0,30.74,82992.0,2551.1740800000002,,,
91,1972年,87177.0,29.92,85229.0,2550.05168,,,
90,1973年,89211.0,28.07,87177.0,2447.05839,,,
89,1974年,90859.0,24.95,89211.0,2225.81445,,,
88,1975年,92420.0,23.13,90859.0,2101.56867,,,
87,1976年,93717.0,20.01,92420.0,1849.3242000000002,1950.012,,
86,1977年,94974.0,19.03,93717.0,1783.43451,2004.179,,
85,1978年,96259.0,18.25,94974.0,1733.2755,2086.4087999999997,,
84,1979年,97542.0,17.82,96259.0,1715.3353800000002,2083.1,,
83,1980年,98705.0,18.21,97542.0,1776.23982,2126.834,,
82,1981年,100072.0,20.91,98705.0,2063.92155,2232.48412,,
81,1982年,101654.0,22.28,100072.0,2229.6041600000003,1964.6716000000001,,
80,1983年,103008.0,20.19,101654.0,2052.39426,1960.7335,,
